BW - Build local workspace,stat_password,stat_vm,stat_gradle,stat_building,stat_yarn start
Fold #1,2.210108453,1.771783257,1.651781593,1.675589702,1.569605782
Fold #2,2.079085642,1.558000933,1.683782762,1.589326901,1.59951478
Fold #3,2.149905972,1.708468643,1.461455374,1.7115831,1.781540189
Fold #4,1.97986235,1.897415292,1.740041905,1.673175598,1.632660425
Fold #5,1.902282499,1.929561603,1.744709363,1.697405366,1.570854171
Fold #6,1.854871657,1.775733447,1.741879094,1.703237536,1.598932131
Fold #7,1.892781228,1.719037414,1.745120524,1.674142844,1.41961778
Fold #8,1.695365213,1.497819324,1.51732511,1.700104559,1.641349005
Fold #9,2.097489752,1.914466683,1.751338006,1.656764423,1.678140057
Fold #10,1.678085235,1.836350298,1.735011031,1.646014574,1.551909955
