CT - Choose a task,stat_open bug,stat_issue require,stat_way contribute,stat_testing code,stat_grabs
Fold #1,1.536497335,1.38384192,1.364491136,1.494157411,1.364856196
Fold #2,1.544048259,1.279075485,1.048268586,1.500722148,1.463871313
Fold #3,1.533828208,1.419629858,1.4871362,1.492350218,1.466688543
Fold #4,1.54667182,1.478720084,1.524238911,1.501909724,0.35310427
Fold #5,1.357237207,1.454593576,1.526070886,1.49660004,1.459698595
Fold #6,1.552395591,1.498367317,1.356082919,1.500250174,1.468371771
Fold #7,1.540343419,1.121063894,1.572909963,1.503963081,1.467030114
Fold #8,0.783534696,1.47722413,1.506413032,1.385399322,1.468338132
Fold #9,1.552668501,1.408889994,1.451426774,1.501061992,1.439413775
Fold #10,1.547958682,1.483595739,1.158116034,0.326164685,1.468928849
