No categories identified.,stat_translation,stat_reproduce,stat_product,stat_thank,stat_commentrevision
Fold #1,2.513519797,2.157609976,2.159489191,1.807935446,1.823378085
Fold #2,2.513486991,2.163961884,1.906968186,1.985583041,1.871162994
Fold #3,2.340130535,2.017698071,2.14400179,2.017865617,1.872465418
Fold #4,2.425985763,2.048100936,1.929905517,1.924431893,1.967544256
Fold #5,2.342296349,2.224359716,2.122473268,2.019287714,2.003144878
Fold #6,2.204131271,2.342363182,1.850256726,2.048949487,1.837202386
Fold #7,2.171051271,2.542712972,2.162951524,1.883915963,1.817360835
Fold #8,2.231409353,2.001382032,2.126206722,2.132296617,1.76919847
Fold #9,2.251187589,2.071697125,2.167677347,1.874405107,1.672648853
Fold #10,2.672998352,1.889820332,2.100975661,1.997080603,1.971436499
