SC - Submit the changes,stat_pr,stat_commits,stat_optionsjson,stat_tox,stat_tested
Fold #1,3.032370661,2.337313605,2.459928537,2.158857195,2.429050945
Fold #2,2.91257601,2.127083891,2.506601144,2.187621267,2.124913315
Fold #3,2.882840947,2.260040415,2.466791962,2.155509596,2.107886881
Fold #4,2.9499693,2.477838898,2.050501602,2.316969937,2.101179632
Fold #5,2.894995657,2.219880398,2.181205942,2.186197103,2.511232348
Fold #6,3.01241384,2.315955038,2.492847025,2.269915721,2.194394387
Fold #7,3.012163594,2.410840148,2.214309459,2.187140069,1.885638179
Fold #8,2.688299849,2.400232197,2.211774037,2.194161999,2.208595276
Fold #9,3.018493217,2.333938071,2.456515316,2.346455559,2.128527847
Fold #10,3.041068081,2.816471917,2.562209308,2.138465775,2.162290078
